Miss: Virtual Address 32f7, Translated Physical Address 3377
Miss: Virtual Address e753, Translated Physical Address e7d3
Miss: Virtual Address ad74, Translated Physical Address adf4
Miss: Virtual Address d7cd, Translated Physical Address d84d
Miss: Virtual Address b7ee, Translated Physical Address b86e
Hit: Virtual Address e753, Physical Address e7d3
Miss: Virtual Address 2ac5, Translated Physical Address 2b45
Hit: Virtual Address 2ac5, Physical Address 2b45
Miss: Virtual Address ce74, Translated Physical Address cef4
Miss: Virtual Address cb7a, Translated Physical Address cbfa
Miss: Virtual Address e870, Translated Physical Address e8f0
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address e870, Physical Address e8f0
Miss: Virtual Address eb41, Translated Physical Address ebc1
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address ad74, Physical Address adf4
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address ad74, Physical Address adf4
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address d7cd, Physical Address d84d
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address d7cd, Physical Address d84d
Hit: Virtual Address ad74, Physical Address adf4
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address d7cd, Physical Address d84d
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address ad74, Physical Address adf4
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address d7cd, Physical Address d84d
Hit: Virtual Address 32f7, Physical Address 3377
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address ce74, Physical Address cef4
Hit: Virtual Address e753, Physical Address e7d3
Hit: Virtual Address cb7a, Physical Address cbfa
Hit: Virtual Address 2ac5, Physical Address 2b45
Hit: Virtual Address eb41, Physical Address ebc1
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address e870, Physical Address e8f0
Hit: Virtual Address b7ee, Physical Address b86e
Hit: Virtual Address d7cd, Physical Address d84d
Hit: Virtual Address ce74, Physical Address cef4
